perfume_name,image_url,brand,clone_of,clone_image_url
Crystal Bloom,https://www.scentari.in/cdn/shop/files/46_fa84db68-89fb-4b8a-b248-2214a13d98c8.png?v=1745847911&width=533,Scentari,Viktor & Rolf Flowerbomb,"https://assets.myntassets.com/w_412,q_60,dpr_2,fl_progressive/assets/images/2024/SEPTEMBER/12/nXl3T1ZD_27e49b0f5bb84dada218deff970a70d4.jpg"
Cascade Blue,https://www.scentari.in/cdn/shop/files/39.png?v=1744463106&width=533,Scentari,Bleu de Chanel,https://beautybaskets.in/wp-content/uploads/2021/03/Chanel-Bleu-De-Parfum-PH-EDP-100ml-5-FILEminimizer-600x600.jpg
Sapphire Zest,https://www.scentari.in/cdn/shop/files/50MLBOTTLE-Photoroom_19.jpg?v=1744824790&width=533,Scentari,Bleu de Chanel Parfum / EDP hybrid,https://beautybaskets.in/wp-content/uploads/2021/03/Chanel-Bleu-De-Parfum-PH-EDP-100ml-5-FILEminimizer-600x600.jpg
Citrus Timber,https://www.scentari.in/cdn/shop/files/30.png?v=1744463113&width=533,Scentari,Terre dHermes,https://belvish.com/cdn/shop/products/Hermes-_E2_80_93-Terre-dHermes-Eau-Intense-Vetiver-EDP-for-Men.jpg?v=1705599059
Country Road,https://www.scentari.in/cdn/shop/files/50ml-Bottles-2025-02-08T114807.802.png?v=1744463100&width=533,Scentari,Terre dHermes,https://belvish.com/cdn/shop/products/Hermes-_E2_80_93-Terre-dHermes-Eau-Intense-Vetiver-EDP-for-Men.jpg?v=1705599059
Island Elixir,https://www.scentari.in/cdn/shop/files/29.png?v=1744463138&width=533,Scentari,Creed Virgin Island Water,https://cdn.shopify.com/s/files/1/0402/0210/9079/files/viw_pdp1.png?v=1730861557&width=2048
Sacred Oudh,https://www.scentari.in/cdn/shop/files/IMG_0002-Photoroom.jpg?v=1744463095&width=533,Scentari,Initio Oud for Greatness,https://codeperfume.in/cdn/shop/files/Oudforgreatness05.png?v=1714913793&width=1445
Nordic Warrior,https://www.scentari.in/cdn/shop/files/50ml_Bottles_-_2025-04-19T230010.814.png?v=1745729976&width=533,Scentari,Creed Viking,https://creedboutique.com/cdn/shop/files/viking-ingredients.jpg?v=1693972964&width=750
Mango Meteor,https://www.scentari.in/cdn/shop/files/50ml-Bottles-2025-03-12T200238.494-1.png?v=1744463113&width=533,Scentari,Soleil de Jeddah Mango Kiss by Stephane Humbert Lucas,https://cremedelacreme.shop/images/galleries/product_items/1663054099_shl-sdj-com-mk-instagram.jpg
Citrus Maverick,https://www.scentari.in/cdn/shop/files/50MLBOTTLE-Photoroom-11.jpg?v=1744463084&width=533,Scentari,Tom Ford Neroli Portofino,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQcuvMr6Ukw_rKo2-WqE8-9MawxkyTZG-Hlng&s
Tobacco Whisper,https://www.scentari.in/cdn/shop/files/tobacco-whisper-Photoroom-2.jpg?v=1744463131&width=533,Scentari,Tom Ford Tobacco Vanille,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEZodk9xth19vI8OUU1_ZBvVfa07MgeaP6GQ&s
Santal Dynasty,https://www.scentari.in/cdn/shop/files/50MLBOTTLE-Photoroom-15.jpg?v=1744463118&width=533,Scentari,Creed Original Santal,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRhMxwL7b2je-vtK83Nic1Vks6VK-tf-FvINg&s
Ethereal Orris,https://www.scentari.in/cdn/shop/files/50ml_Bottles_-_2025-04-15T203152.758.png?v=1744730973&width=533,Scentari,Serge Lutens Iris Silver Mist,https://fimgs.net/mdimg/perfume/375x500.1281.jpg
